city,long,lat
PARIS,2.3522219,48.856614
ACHERES-LA-FORET,2.570289,48.354976
AUBEPIERRE-OZOUER-LE-REPOS,2.890552,48.632323
CHATELET-EN-BRIE,2.792095,48.504945
CHATENAY-SUR-SEINE,3.096229,48.418774
CHATENOY,2.625239,48.2335629
CHATILLON-LA-BORDE,2.809321,48.542797
CHATRES,2.810069,48.710549
CHAUFFRY,3.182638,48.813587
CHAUMES-EN-BRIE,2.841244,48.666072
CHELLES,2.59016,48.877535
CHENOISE,3.194421,48.615664
AUFFERVILLE,2.609046,48.214675
CHENOU,2.65855,48.165437
CHESSY,2.76456,48.879679
CHEVRAINVILLIERS,2.614599,48.2446119
CHEVRU,3.194326,48.736013
CHEVRY-COSSIGNY,2.659046,48.725095
CHEVRY-EN-SEREINE,2.942418,48.254415
CHOISY-EN-BRIE,3.218017,48.758761
CITRY,3.237548,48.969526
CLAYE-SOUILLY,2.68836,48.945849
CLOS-FONTAINE,3.016708,48.606468
AUGERS-EN-BRIE,3.356014,48.679174
COCHEREL,3.100598,49.021652
COLLEGIEN,2.672032,48.836583
COMBS-LA-VILLE,2.55769,48.66602
COMPANS,2.663187,48.993391
CONCHES-SUR-GONDOIRE,2.716324,48.856193
CONDE-SAINTE-LIBIAIRE,2.832361,48.897805
CONGIS-SUR-THEROUANNE,2.97453,49.007185
COUBERT,2.695835,48.671688
COUILLY-PONT-AUX-DAMES,2.860112,48.883901
COULOMBS-EN-VALOIS,3.126108,49.070003
AULNOY,3.089204,48.847191
COULOMMES,2.93356,48.890754
COULOMMIERS,3.083497,48.813071
COUPVRAY,2.794171,48.892152
COURCELLES-EN-BASSEE,3.0550069,48.408927
COURCHAMP,3.288385,48.635345
COURPALAY,2.960128,48.648117
COURTACON,3.290306,48.695109
COURTOMER,2.902965,48.653562
COURTRY,2.603204,48.918273
AVON,2.720733,48.404839
COUTENCON,2.99606,48.47108
COUTEVROULT,2.8536579,48.86278
CRECY-LA-CHAPELLE,2.910674,48.857397
CREGY-LES-MEAUX,2.872952,48.977929
CREVECOEUR-EN-BRIE,2.907322,48.754329
CRISENOY,2.743004,48.595981
CROISSY-BEAUBOURG,2.659396,48.8279179
CROIX-EN-BRIE,3.0751179,48.593094
CROUY-SUR-OURCQ,3.074403,49.090669
CUCHARMOY,3.194115,48.583034
BABY,3.342684,48.396002
CUISY,2.772578,49.019927
DAGNY,3.170322,48.717055
DAMMARIE-LES-LYS,2.634831,48.515451
DAMMARTIN-EN-GOELE,2.683399,49.054824
DAMMARTIN-SUR-TIGEAUX,2.918746,48.819177
DAMPMART,2.7362479,48.885476
DARVAULT,2.736251,48.2713899
DHUISY,3.160344,49.039309
DIANT,2.993369,48.2814679
DONNEMARIE-DONTILLY,3.123497,48.4779709
BAGNEAUX-SUR-LOING,2.705274,48.231029
DORMELLES,2.902584,48.315018
DOUE,3.163851,48.865373
DOUY-LA-RAMEE,2.8705949,49.05657
ECHOUBOULAINS,2.945058,48.46373
ECRENNES,2.856736,48.503636
ECUELLES,2.820919,48.353944
EGLIGNY,3.121316,48.427304
EGREVILLE,2.871868,48.175288
EMERAINVILLE,2.622037,48.811755
EPISY,2.785141,48.334304
ESBLY,2.813534,48.902025
ESMANS,2.975816,48.34783
ETREPILLY,2.930433,49.034371
EVERLY,3.252027,48.467282
EVRY-GREGY-SUR-YERRE,2.63923,48.65696
FAREMOUTIERS,2.997246,48.799399
FAVIERES,2.774784,48.764022
FAY-LES-NEMOURS,2.673781,48.2309259
FERICY,2.802261,48.4645579
BAILLY-ROMAINVILLIERS,2.823803,48.847068
FEROLLES-ATTILLY,2.634358,48.7343819
FERRIERES-EN-BRIE,2.7047469,48.8215519
FERTE-GAUCHER,3.30549,48.780643
FERTE-SOUS-JOUARRE,3.130059,48.950507
FLAGY,2.921402,48.312525
FLEURY-EN-BIERE,2.5492309,48.448246
FONTAINEBLEAU,2.70162,48.404676
FONTAINE-FOURCHES,3.39481,48.412503
FONTAINE-LE-PORT,2.759662,48.485944
BALLOY,3.146277,48.398159
FONTAINS,3.001769,48.526922
FONTENAILLES,2.952495,48.553493
FONTENAY-TRESIGNY,2.866479,48.706897
FORFRY,2.848536,49.057746
FORGES,2.960859,48.419369
FOUJU,2.777921,48.585682
FRESNES-SUR-MARNE,2.740468,48.937613
FRETOY,3.204391,48.703957
FROMONT,2.502971,48.255306
FUBLAINES,2.936164,48.9380499
AMILLIS,3.133658,48.737433
BANNOST-VILLEGAGNON,3.191049,48.677898
GARENTREVILLE,2.549866,48.2351979
GASTINS,3.02114,48.628117
GENEVRAYE,2.751071,48.3164469
GERMIGNY-L'EVEQUE,2.945494,48.993659
GERMIGNY-SOUS-COULOMBS,3.158346,49.064162
GESVRES-LE-CHAPITRE,2.851961,49.044619
GIREMOUTIERS,3.029564,48.842636
GIRONVILLE,2.5283129,48.185989
GOUAIX,3.293361,48.480117
GOUVERNES,2.699218,48.857732
BARBEY,3.057734,48.364855
GRANDE-PAROISSE,2.900735,48.386235
GRANDPUITS-BAILLY-CARROIS,2.975419,48.58443
GRAVON,3.120029,48.3998909
GRESSY,2.674049,48.964879
GRETZ-ARMAINVILLIERS,2.7366419,48.7402749
GREZ-SUR-LOING,2.690599,48.316069
